               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   5,            0.031727,            0.035848,           0.0016159,             0.88031,             0.87391,             0.93222,              0.5927,            0.028435,            0.021656,           0.0018732,            0.009208,            0.009208,            0.009208
                   6,            0.030072,            0.035156,           0.0012708,             0.86668,             0.85994,             0.92541,             0.57864,            0.029217,            0.022123,           0.0014589,             0.00901,             0.00901,             0.00901
                   7,            0.028897,            0.033915,           0.0011289,             0.88218,             0.86912,              0.9332,             0.57561,            0.029262,            0.021859,            0.001464,            0.008812,            0.008812,            0.008812
                   8,            0.027773,            0.032409,          0.00079364,             0.88624,             0.86333,             0.93376,             0.60755,            0.027821,            0.022084,           0.0021051,            0.008614,            0.008614,            0.008614
                   9,             0.02683,            0.031022,          0.00072146,              0.8989,             0.87282,             0.93549,             0.60988,            0.027431,            0.021767,           0.0017984,            0.008416,            0.008416,            0.008416
                  10,            0.027632,            0.032312,           0.0010344,             0.88394,              0.8556,             0.93144,             0.61946,            0.026056,            0.021777,           0.0014739,            0.008218,            0.008218,            0.008218
                  11,            0.027005,            0.032094,           0.0010514,             0.86796,               0.889,             0.93985,             0.61924,            0.026398,            0.021761,           0.0013357,             0.00802,             0.00802,             0.00802
                  12,            0.026234,            0.032092,          0.00088446,             0.88335,             0.87855,             0.94099,             0.62112,            0.026638,            0.021667,           0.0015446,            0.007822,            0.007822,            0.007822
                  13,            0.025764,            0.031433,          0.00077643,              0.8747,              0.8841,             0.94037,             0.63104,            0.026115,            0.021738,           0.0010274,            0.007624,            0.007624,            0.007624
                  14,            0.025415,            0.030458,          0.00081015,             0.88968,             0.86926,             0.93398,             0.62723,            0.025848,            0.022049,           0.0017566,            0.007426,            0.007426,            0.007426
                  15,            0.025419,            0.030384,          0.00074556,             0.87369,             0.87546,             0.93091,             0.62247,            0.026514,            0.022032,           0.0013415,            0.007228,            0.007228,            0.007228
                  16,            0.024868,            0.030277,          0.00076888,             0.90324,             0.85219,              0.9329,             0.62903,            0.026604,            0.021639,           0.0018201,             0.00703,             0.00703,             0.00703
                  17,            0.024521,            0.029675,          0.00069756,             0.88193,             0.89032,             0.94086,             0.64393,            0.025389,            0.021094,           0.0011376,            0.006832,            0.006832,            0.006832
                  18,            0.023877,            0.028937,          0.00055414,             0.89282,             0.86661,             0.94257,             0.63447,            0.026713,            0.021965,            0.001142,            0.006634,            0.006634,            0.006634
                  19,            0.023935,            0.029219,          0.00062264,             0.86745,             0.89569,             0.93468,             0.62333,            0.026281,            0.022542,           0.0011226,            0.006436,            0.006436,            0.006436
                  20,            0.023697,            0.029067,          0.00054485,              0.8834,             0.88396,             0.93719,             0.64757,             0.02577,            0.022678,          0.00096677,            0.006238,            0.006238,            0.006238
                  21,             0.02301,            0.028562,          0.00056378,             0.88943,             0.88952,             0.93777,             0.63943,            0.026067,            0.022497,           0.0014031,             0.00604,             0.00604,             0.00604
                  22,            0.023114,            0.028313,          0.00055792,             0.89527,             0.87405,             0.93014,             0.63878,            0.026239,            0.022601,           0.0016433,            0.005842,            0.005842,            0.005842
                  23,            0.022361,            0.027685,          0.00051716,             0.89897,             0.86435,             0.93163,             0.63426,            0.026294,            0.022771,           0.0012772,            0.005644,            0.005644,            0.005644
                  24,            0.022335,            0.028532,          0.00039817,             0.88057,             0.89366,             0.93115,             0.64829,            0.025946,            0.023158,           0.0012517,            0.005446,            0.005446,            0.005446
                  25,            0.022254,            0.028001,           0.0005784,             0.88904,             0.88602,             0.93772,             0.65214,            0.025801,             0.02276,           0.0011671,            0.005248,            0.005248,            0.005248
                  26,            0.021873,            0.026933,          0.00041644,             0.89449,             0.86867,             0.92591,             0.64231,            0.026223,            0.023616,           0.0013995,             0.00505,             0.00505,             0.00505
                  27,            0.021542,            0.026771,          0.00049782,             0.89344,             0.86722,             0.92706,             0.62912,            0.026792,            0.023864,           0.0016007,            0.004852,            0.004852,            0.004852
                  28,            0.021156,            0.026447,          0.00053095,             0.87643,             0.88657,             0.92752,             0.63801,            0.026971,            0.023979,           0.0014677,            0.004654,            0.004654,            0.004654
                  29,            0.020837,            0.026098,          0.00037726,             0.88788,             0.87633,             0.92327,              0.6349,            0.026524,             0.02402,           0.0012543,            0.004456,            0.004456,            0.004456
                  30,            0.020617,            0.025795,          0.00034612,             0.90939,             0.87448,             0.93028,             0.64531,            0.026261,            0.023778,            0.001395,            0.004258,            0.004258,            0.004258
